simulation,t_stat_size,t_stat_value,coef_size,coef_value
49,1.6292774132522265,2.6126849200724642,0.1801898264927556,0.2126801977258119
50,1.6281970745081344,2.61311214016291,0.18007169791342673,0.21270092711595504
51,1.6283252401781054,2.612411970066393,0.18007779554567302,0.21264767556133224
52,1.6299068259267315,2.6143592461769263,0.18025762632024608,0.21280712173068445
53,1.6286812295660926,2.6112245207841402,0.1801240217878251,0.21255829883556754
54,1.6296869123457305,2.6150692079174633,0.18022755790704215,0.2128706336213647
55,1.6289637016848153,2.61364348505262,0.18015713472832837,0.2127634758177958
56,1.6280796897715195,2.6119951946760107,0.18005225803600244,0.21260149403311768
57,1.6286734290286207,2.613510703302173,0.18011663214403234,0.21275717243937248
58,1.6281459579844622,2.614600237276866,0.18006614689490844,0.21281635337588178
59,1.628173737392098,2.6144481824778976,0.18005780690247639,0.212821958347975
60,1.6294653678276563,2.6143124014731076,0.18020974169383797,0.2128211325434586
61,1.629227183474705,2.612272522815243,0.18018217755248825,0.2126377467263172
62,1.629455561886654,2.612972716371321,0.18020573777882562,0.2126831274226328
63,1.626748962753878,2.615079454124202,0.17990345844515984,0.21286913493108675
64,1.628028900623566,2.6139112054511915,0.18004018532314497,0.21276699045334702
65,1.6291731466489425,2.6147781103943566,0.1801771053370225,0.21283628727596332
66,1.629200370886488,2.614925839391166,0.18017507261046306,0.21284344416451403
67,1.6294792505060949,2.6137621763285512,0.18021105176902147,0.2127731504805323
68,1.6301409664448487,2.610755326607511,0.18029080790800345,0.2125132620088033
69,1.6298084692162107,2.6125689668005556,0.1802508613927361,0.21267041141365917
70,1.6270348192659718,2.6136660587308254,0.179939406290186,0.2127635771869102
71,1.6285690910537574,2.6132224479534787,0.18010130966038546,0.21271582906942493
72,1.6277293193358806,2.613739154532218,0.18001927551456998,0.21275404284937466
73,1.6309603769995862,2.6124089507517443,0.18037012503294933,0.21264510754344657
74,1.6281569637028457,2.614189976879811,0.18006229407359786,0.21279402766210018
75,1.6284351141629705,2.613623576119683,0.18010208352190754,0.2127568835375171
76,1.627555433773604,2.6130238702305317,0.17999915841103967,0.2126928684441853
77,1.628672661345256,2.6115188056186884,0.18012555656979592,0.21257711529193518
78,1.628139835689388,2.6151622096121643,0.18006582240393104,0.21287711104903081
79,1.6294839068460127,2.612131209679,0.1802147068055196,0.21262493926052034
80,1.6294256458757281,2.6132923342394596,0.18019991625357237,0.21271735759306934
81,1.6287927445302641,2.6126798989191897,0.18013743746304542,0.21267098782235924
82,1.6284121807198713,2.614367900509799,0.18009156593675468,0.2128058535091014
83,1.62892498748222,2.613744546801807,0.1801608136232658,0.21277019112045464
84,1.6294896972287862,2.6121636877445167,0.18021660937037953,0.2126331032824583
85,1.6305567143670467,2.6142120388267074,0.18033832745565187,0.2127929707512737
86,1.6296138562807851,2.6141211896604206,0.18022510339622633,0.21279625472565997
87,1.6280872662078951,2.6126258898813495,0.18006021429171615,0.2126696531645468
88,1.628201920957628,2.615150916463115,0.18007364940958567,0.21288157500781388
89,1.6296567958751254,2.6156950831295247,0.18023951380122752,0.21290077365667912
90,1.6283233129582109,2.612669183788927,0.1800891449723525,0.21267835297853385
91,1.6282991800665343,2.6136950975864335,0.18006992131521088,0.21277067441581576
92,1.6272958729805236,2.612487629287688,0.17996792166144374,0.21265343591531147
93,1.6288724180739569,2.61373285884913,0.18015538735702843,0.21275823207630465
94,1.6283802898624344,2.61413632756535,0.18008490693760873,0.21279822457877004
95,1.6287041481687783,2.6140903523115298,0.18011950870570875,0.21279954296770276
96,1.6279479307975515,2.613967163119695,0.180035054726062,0.21278676854266418
97,1.6282815512755064,2.612673983336567,0.1800765955854892,0.21268583370534658
98,1.6287381810415877,2.6134099869875755,0.18013450104729922,0.21272643924804377
99,1.628563253719108,2.612996144022526,0.18011228584699904,0.21270210944681556
